file,timestamp,view,background,threshold,n_det,omega_count,omega_score,flags,note
cap_000000,2026-08-19T19:45:04.864,any,23.05,25.55,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000001,2026-08-19T19:45:04.959,any,23.05,25.55,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000002,2026-08-19T19:45:05.086,any,23.05,25.55,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000003,2026-08-19T19:45:05.184,any,23.10,25.60,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000004,2026-08-19T19:45:05.310,any,23.08,25.58,1,2,0.058151740185296626,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000005,2026-08-19T19:45:05.407,any,23.10,25.60,1,1,0.21050643936625144,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000006,2026-08-19T19:45:05.532,any,23.13,25.63,1,1,0.570619871101565,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000007,2026-08-19T19:45:05.658,any,23.13,25.63,1,1,0.43072741525022207,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000008,2026-08-19T19:45:05.755,any,23.13,25.63,1,0,0.0,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
cap_000009,2026-08-19T19:45:05.887,any,23.10,25.60,1,1,0.47457842960845004,TempBand+Watershed+Merge+ClustSml+ShapeGate+MinPeaks+P-Filter+EquipRej+SkinPrio+Omega+OmScale+Kalman+StaticSup,run2 pfilter4
