file,cluster,score,why,decision
cap_000042,1,-1.0000,MISS: 134px blob unboxed,delete
cap_000232,48,-1.0000,MISS: 123px blob unboxed,approve
cap_000238,48,-1.0000,MISS: 123px blob unboxed,approve
cap_000239,48,-1.0000,MISS: 122px blob unboxed,approve
cap_000240,48,-1.0000,MISS: 123px blob unboxed,approve
cap_000241,48,-1.0000,MISS: 124px blob unboxed,approve
cap_000242,48,-1.0000,MISS: 123px blob unboxed,approve
cap_000244,49,-1.0000,MISS: 121px blob unboxed,approve
cap_000269,50,-1.0000,MISS: 176px blob unboxed,delete
cap_000528,95,-1.0000,MISS: 135px blob unboxed,delete
cap_000529,95,-1.0000,MISS: 195px blob unboxed,delete
cap_000530,95,-1.0000,MISS: 277px blob unboxed,delete
cap_000670,125,-1.0000,MISS: 145px blob unboxed,approve
cap_000671,125,-1.0000,MISS: 222px blob unboxed,approve
cap_000672,125,-1.0000,MISS: 298px blob unboxed,approve
cap_000673,125,-1.0000,MISS: 392px blob unboxed,approve
cap_000747,136,-1.0000,MISS: 127px blob unboxed,delete
cap_000748,136,-1.0000,MISS: 211px blob unboxed,delete
cap_000821,162,-1.0000,MISS: 436px blob unboxed,approve
cap_000831,164,-1.0000,MISS: 482px blob unboxed,approve
cap_000832,164,-1.0000,MISS: 489px blob unboxed,approve
cap_000833,164,-1.0000,MISS: 478px blob unboxed,approve
cap_000835,164,-1.0000,MISS: 462px blob unboxed,approve
cap_000836,164,-1.0000,MISS: 475px blob unboxed,approve
cap_000837,164,-1.0000,MISS: 481px blob unboxed,approve
cap_000838,164,-1.0000,MISS: 474px blob unboxed,approve
cap_000839,164,-1.0000,MISS: 470px blob unboxed,approve
cap_000840,164,-1.0000,MISS: 464px blob unboxed,approve
cap_000841,164,-1.0000,MISS: 462px blob unboxed,approve
cap_000847,164,-1.0000,MISS: 461px blob unboxed,approve
cap_000849,164,-1.0000,MISS: 432px blob unboxed,approve
cap_000851,164,-1.0000,MISS: 460px blob unboxed,approve
cap_000880,166,-1.0000,MISS: 464px blob unboxed,approve
cap_000886,167,-1.0000,MISS: 461px blob unboxed,approve
cap_000893,167,-1.0000,MISS: 125px blob unboxed,delete
cap_000894,167,-1.0000,MISS: 190px blob unboxed,delete
cap_000895,167,-1.0000,MISS: 253px blob unboxed,delete
cap_000937,172,-1.0000,MISS: 167px blob unboxed,approve
cap_000942,172,-1.0000,MISS: 162px blob unboxed,approve
cap_000944,172,-1.0000,MISS: 163px blob unboxed,approve
cap_002061,305,-1.0000,MISS: 139px blob unboxed,delete
cap_002062,305,-1.0000,MISS: 149px blob unboxed,delete
cap_002063,305,-1.0000,MISS: 145px blob unboxed,delete
cap_002064,305,-1.0000,MISS: 147px blob unboxed,delete
cap_002065,305,-1.0000,MISS: 138px blob unboxed,delete
cap_002066,305,-1.0000,MISS: 139px blob unboxed,delete
cap_002067,305,-1.0000,MISS: 130px blob unboxed,delete
cap_002363,328,-1.0000,MISS: 215px blob unboxed,approve
cap_002364,328,-1.0000,MISS: 265px blob unboxed,approve
cap_002410,338,-1.0000,MISS: 171px blob unboxed,approve
cap_002432,348,-1.0000,MISS: 465px blob unboxed,approve
cap_002433,348,-1.0000,MISS: 460px blob unboxed,approve
cap_002440,350,-1.0000,MISS: 441px blob unboxed,approve
cap_002441,350,-1.0000,MISS: 471px blob unboxed,approve
cap_002443,351,-1.0000,MISS: 474px blob unboxed,approve
cap_002444,351,-1.0000,MISS: 460px blob unboxed,approve
cap_002446,352,-1.0000,MISS: 460px blob unboxed,approve
