file,cluster,n_person,n_omega,status
cap_000000,0,2,0,human
cap_000001,0,2,0,human
cap_000002,0,2,0,human
cap_000003,0,2,0,human
cap_000004,0,2,0,human
cap_000005,0,2,0,human
cap_000006,0,2,0,human
cap_000007,0,2,0,human
cap_000008,0,2,0,human
cap_000009,0,2,0,human
cap_000010,0,2,0,human
cap_000011,0,2,0,human
cap_000012,0,2,0,human
cap_000013,0,2,0,human
cap_000014,0,2,0,human
cap_000015,0,2,0,human
cap_000016,0,2,0,human
cap_000017,0,2,0,human
cap_000018,0,2,0,human
cap_000019,0,2,0,human
cap_000020,0,2,0,human
cap_000021,0,2,0,human
cap_000022,0,2,0,human
cap_000023,0,2,0,human
cap_000024,0,2,0,human
cap_000025,0,2,0,human
cap_000026,0,2,0,human
cap_000027,0,2,0,human
cap_000028,0,2,0,human
cap_000029,0,2,0,human
cap_000030,1,2,0,human
cap_000031,1,2,0,human
cap_000032,1,2,0,human
cap_000033,1,2,0,human
cap_000034,1,2,0,human
cap_000035,1,2,0,human
cap_000036,1,2,0,human
cap_000037,1,2,0,human
cap_000038,1,2,0,human
cap_000039,1,2,0,human
cap_000040,1,2,0,human
cap_000041,1,2,0,human
cap_000042,1,2,0,human
cap_000043,2,2,0,human
cap_000044,2,2,0,human
cap_000045,3,2,0,human
cap_000046,3,2,0,human
cap_000047,4,2,0,human
cap_000048,4,3,1,human
cap_000049,5,3,1,ok
cap_000050,5,3,0,ok
cap_000051,6,3,0,ok
cap_000052,6,3,0,ok
cap_000053,7,3,1,ok
cap_000054,7,3,0,ok
cap_000055,8,3,1,ok
cap_000056,8,3,1,ok
cap_000057,9,3,0,ok
cap_000058,9,3,1,ok
cap_000059,10,3,0,ok
cap_000060,10,3,0,ok
cap_000061,11,3,2,ok
cap_000062,11,3,0,ok
cap_000063,12,3,1,ok
cap_000064,12,3,1,ok
cap_000065,13,3,1,ok
cap_000066,13,3,0,ok
cap_000067,14,2,1,human
cap_000068,14,2,1,human
cap_000069,15,2,0,human
cap_000070,15,2,0,human
cap_000071,15,2,1,human
cap_000072,16,2,1,human
cap_000073,16,3,0,human
cap_000074,16,2,0,human
cap_000075,17,2,0,human
cap_000076,17,2,0,human
cap_000077,17,2,1,human
cap_000078,18,2,0,human
cap_000079,18,2,0,human
cap_000080,18,2,0,human
cap_000081,19,2,0,human
cap_000082,19,2,0,human
cap_000083,19,2,0,human
cap_000084,19,2,0,human
cap_000085,20,2,0,human
cap_000086,20,2,0,human
cap_000087,20,2,0,human
cap_000088,20,2,0,human
cap_000089,21,3,3,ok
cap_000090,21,3,3,ok
cap_000091,21,3,3,ok
cap_000092,22,3,3,ok
cap_000093,22,3,3,ok
cap_000094,22,3,3,ok
cap_000095,22,3,3,ok
cap_000096,23,3,3,ok
cap_000097,23,3,3,ok
cap_000098,23,3,3,ok
cap_000099,23,3,3,ok
cap_000100,23,3,3,ok
cap_000101,24,3,3,ok
cap_000102,24,3,3,ok
cap_000103,24,3,3,ok
cap_000104,24,3,3,ok
cap_000105,24,3,3,ok
cap_000106,24,3,3,ok
cap_000107,24,3,3,ok
cap_000108,24,3,3,ok
cap_000109,25,2,0,human
cap_000110,25,2,0,human
cap_000111,25,2,0,human
cap_000112,25,2,0,human
cap_000113,26,0,0,human
cap_000114,26,0,0,human
cap_000115,26,0,0,human
cap_000116,26,0,0,human
cap_000117,26,0,0,human
cap_000118,26,0,0,human
cap_000119,26,0,0,human
cap_000120,27,2,0,human
cap_000121,27,2,0,human
cap_000122,27,2,0,human
cap_000123,27,2,0,human
cap_000124,27,2,0,human
cap_000125,27,2,0,human
cap_000126,27,2,0,human
cap_000127,27,2,0,human
cap_000128,28,0,0,human
cap_000129,28,0,0,human
cap_000130,28,0,0,human
cap_000131,28,0,0,human
cap_000132,28,0,0,human
cap_000133,28,0,0,human
cap_000134,28,0,0,human
cap_000135,28,0,0,human
cap_000136,28,0,0,human
cap_000137,29,2,0,human
cap_000138,29,2,0,human
cap_000139,29,2,0,human
cap_000140,29,2,0,human
cap_000141,29,2,1,human
cap_000142,30,2,0,human
cap_000143,30,2,1,human
cap_000144,30,2,2,human
cap_000145,31,2,1,human
cap_000146,31,2,2,human
cap_000147,32,2,2,human
cap_000148,32,2,3,human
cap_000149,33,2,2,human
cap_000150,33,2,2,human
cap_000151,33,2,3,human
cap_000152,33,2,3,human
cap_000153,34,2,1,human
cap_000154,34,2,0,human
cap_000155,34,2,0,human
cap_000156,35,3,3,ok
cap_000157,35,3,3,ok
cap_000158,35,3,3,ok
cap_000159,35,3,3,ok
cap_000160,35,3,3,ok
cap_000161,36,3,3,ok
cap_000162,36,3,3,ok
cap_000163,36,3,3,ok
cap_000164,36,3,3,ok
cap_000165,36,3,3,ok
cap_000166,36,3,3,ok
cap_000167,36,3,3,ok
cap_000168,36,3,3,ok
cap_000169,36,3,3,ok
cap_000170,36,3,3,ok
cap_000171,36,3,3,ok
cap_000172,36,3,3,ok
cap_000173,36,3,3,ok
cap_000174,36,3,3,ok
cap_000175,36,3,3,ok
cap_000176,36,3,3,ok
cap_000177,37,3,3,ok
cap_000178,37,3,3,ok
cap_000179,37,3,3,ok
cap_000180,37,3,3,ok
cap_000181,37,3,3,ok
cap_000182,37,3,3,ok
cap_000183,37,3,3,ok
cap_000184,37,3,3,ok
cap_000185,38,3,0,ok
cap_000186,38,3,0,ok
cap_000187,38,3,0,ok
cap_000188,38,3,0,ok
cap_000189,38,3,0,ok
cap_000190,38,3,0,ok
cap_000191,38,3,0,ok
cap_000192,38,3,0,ok
cap_000193,38,3,0,ok
cap_000194,38,3,0,ok
cap_000195,38,3,0,ok
cap_000196,38,3,0,ok
cap_000197,39,0,0,human
cap_000198,39,0,0,human
cap_000199,39,0,0,human
cap_000200,39,0,0,human
cap_000201,39,0,0,human
cap_000202,40,2,0,human
cap_000203,40,2,0,human
cap_000204,40,2,1,human
cap_000205,41,2,1,human
cap_000206,41,2,1,human
cap_000207,41,2,1,human
cap_000208,42,2,2,human
cap_000209,42,2,2,human
cap_000210,43,2,2,human
cap_000211,43,2,1,human
cap_000212,43,2,1,human
cap_000213,43,2,1,human
cap_000214,43,2,1,human
cap_000215,43,2,2,human
cap_000216,43,2,1,human
cap_000217,43,2,1,human
cap_000218,44,2,1,human
cap_000219,44,2,1,human
cap_000220,44,2,1,human
cap_000221,45,2,1,human
cap_000222,45,2,0,human
cap_000223,45,2,1,human
cap_000224,46,0,0,human
cap_000225,46,0,0,human
cap_000226,46,0,0,human
cap_000227,47,0,0,human
cap_000228,47,0,0,human
cap_000229,47,0,0,human
cap_000230,47,0,0,human
cap_000231,48,0,0,human
cap_000232,48,0,0,human
cap_000233,48,0,0,human
cap_000234,48,0,0,human
cap_000235,48,0,0,human
cap_000236,48,0,0,human
cap_000237,48,0,0,human
cap_000238,48,0,0,human
cap_000239,48,0,0,human
cap_000240,48,0,0,human
cap_000241,48,0,0,human
cap_000242,48,0,0,human
cap_000243,49,0,0,human
cap_000244,49,0,0,human
cap_000245,49,0,0,human
cap_000246,49,0,0,human
cap_000247,49,0,0,human
cap_000248,49,0,0,human
cap_000249,49,0,0,human
cap_000250,49,0,0,human
cap_000251,49,0,0,human
cap_000252,49,0,0,human
cap_000253,49,0,0,human
cap_000254,49,0,0,human
cap_000255,50,0,0,human
cap_000256,50,0,0,human
cap_000257,50,0,0,human
cap_000258,50,0,0,human
cap_000259,50,0,0,human
cap_000260,50,0,0,human
cap_000261,50,0,0,human
cap_000262,50,0,0,human
cap_000263,50,0,0,human
cap_000264,50,0,0,human
cap_000265,50,0,0,human
cap_000266,50,0,0,human
cap_000267,50,0,0,human
cap_000268,50,0,0,human
cap_000269,50,0,0,human
cap_000270,51,0,0,human
cap_000271,51,0,0,human
cap_000272,51,0,0,human
cap_000273,51,0,0,human
cap_000274,52,2,0,human
cap_000275,52,3,0,human
cap_000276,52,3,0,human
cap_000277,52,3,0,human
cap_000278,52,3,0,human
cap_000279,53,3,0,human
cap_000280,53,2,1,human
cap_000281,53,2,1,human
cap_000282,54,2,1,human
cap_000283,54,3,1,human
cap_000284,54,3,2,human
cap_000285,54,3,2,human
cap_000286,54,3,2,human
cap_000287,54,3,1,human
cap_000288,54,3,2,human
cap_000289,54,3,1,human
cap_000290,54,3,1,human
cap_000291,54,3,1,human
cap_000292,54,3,2,human
cap_000293,54,3,2,human
cap_000294,54,3,1,human
cap_000295,54,3,2,human
cap_000296,54,3,2,human
cap_000297,54,3,2,human
cap_000298,54,3,2,human
cap_000299,54,3,2,human
cap_000300,54,3,2,human
cap_000301,54,3,2,human
cap_000302,54,3,1,human
cap_000303,54,3,2,human
cap_000304,54,3,2,human
cap_000305,54,3,1,human
cap_000306,54,3,1,human
cap_000307,54,3,2,human
cap_000308,54,2,2,human
cap_000309,54,3,1,human
cap_000310,54,3,1,human
cap_000311,55,3,1,human
cap_000312,55,2,1,human
cap_000313,55,2,1,human
cap_000314,55,2,1,human
cap_000315,55,2,1,human
cap_000316,56,2,1,human
cap_000317,56,2,1,human
cap_000318,57,2,1,human
cap_000319,57,2,0,human
cap_000320,57,2,0,human
cap_000321,58,2,0,human
cap_000322,58,2,0,human
cap_000323,58,2,1,human
cap_000324,59,2,0,human
cap_000325,59,2,1,human
cap_000326,60,2,0,human
cap_000327,60,2,0,human
cap_000328,61,2,0,human
cap_000329,61,2,0,human
cap_000330,62,2,0,human
cap_000331,62,3,0,human
cap_000332,63,2,0,human
cap_000333,63,2,0,human
cap_000334,63,2,0,human
cap_000335,64,2,0,human
cap_000336,64,2,0,human
cap_000337,64,2,0,human
cap_000338,64,2,0,human
cap_000339,64,2,0,human
cap_000340,65,2,0,human
cap_000341,65,2,0,human
cap_000342,65,2,0,human
cap_000343,65,2,0,human
cap_000344,65,2,0,human
cap_000345,65,2,0,human
cap_000346,65,3,0,human
cap_000347,65,3,0,human
cap_000348,65,3,0,human
cap_000349,65,2,0,human
cap_000350,65,2,0,human
cap_000351,65,2,0,human
cap_000352,65,2,0,human
cap_000353,65,3,0,human
cap_000354,66,2,0,human
cap_000355,66,2,0,human
cap_000356,66,3,0,human
cap_000357,66,3,0,human
cap_000358,66,3,0,human
cap_000359,66,2,0,human
cap_000360,66,3,0,human
cap_000361,67,3,0,human
cap_000362,67,3,0,human
cap_000363,67,3,0,human
cap_000364,67,2,0,human
cap_000365,67,2,0,human
cap_000366,67,2,0,human
cap_000367,67,3,0,human
cap_000368,67,3,0,human
cap_000369,68,3,0,human
cap_000370,68,2,0,human
cap_000371,68,2,0,human
cap_000372,69,0,0,human
cap_000373,69,0,0,human
cap_000374,69,0,0,human
cap_000375,70,0,0,human
cap_000376,70,0,0,human
cap_000377,70,0,0,human
cap_000378,71,0,0,human
cap_000379,71,0,0,human
cap_000380,71,0,0,human
cap_000381,71,0,0,human
cap_000382,71,0,0,human
cap_000383,71,0,0,human
cap_000384,72,2,1,human
cap_000385,72,2,1,human
cap_000386,73,2,1,human
cap_000387,73,2,0,human
cap_000388,73,2,0,human
cap_000389,73,3,0,human
cap_000390,74,3,0,human
cap_000391,74,2,0,human
