file,timestamp,view,background,threshold,n_det,omega_count,omega_score,flags,note
cap_000000,2026-09-18T10:38:22.516,horizontal,,,0,1,0.7387,YOLO-omega,
cap_000001,2026-09-18T10:38:22.641,horizontal,,,0,1,0.6847,YOLO-omega,
cap_000002,2026-09-18T10:38:22.736,horizontal,,,0,1,0.7358,YOLO-omega,
cap_000003,2026-09-18T10:38:22.864,horizontal,,,0,1,0.7590,YOLO-omega,
cap_000004,2026-09-18T10:38:22.962,horizontal,,,0,1,0.6651,YOLO-omega,
cap_000005,2026-09-18T10:38:23.090,horizontal,,,0,1,0.6387,YOLO-omega,
cap_000006,2026-09-18T10:38:23.230,horizontal,,,0,1,0.7169,YOLO-omega,
cap_000007,2026-09-18T10:38:23.324,horizontal,,,0,1,0.5737,YOLO-omega,
cap_000008,2026-09-18T10:38:23.449,horizontal,,,0,1,0.4702,YOLO-omega,
cap_000009,2026-09-18T10:38:23.545,horizontal,,,0,0,0.0000,YOLO-omega,
cap_000010,2026-09-18T10:38:23.674,horizontal,,,0,0,0.0000,YOLO-omega,
cap_000011,2026-09-18T10:38:23.769,horizontal,,,0,0,0.0000,YOLO-omega,
cap_000012,2026-09-18T10:38:23.899,horizontal,,,0,0,0.0000,YOLO-omega,
cap_000013,2026-09-18T10:38:23.987,horizontal,,,0,1,0.6193,YOLO-omega,
cap_000014,2026-09-18T10:38:24.114,horizontal,,,0,1,0.8501,YOLO-omega,
cap_000015,2026-09-18T10:38:24.242,horizontal,,,0,1,0.7623,YOLO-omega,
cap_000016,2026-09-18T10:38:24.339,horizontal,,,0,1,0.5963,YOLO-omega,
cap_000017,2026-09-18T10:38:24.468,horizontal,,,0,1,0.8949,YOLO-omega,
cap_000018,2026-09-18T10:38:24.560,horizontal,,,0,1,0.8925,YOLO-omega,
cap_000019,2026-09-18T10:38:24.690,horizontal,,,0,1,0.8440,YOLO-omega,
cap_000020,2026-09-18T10:38:24.783,horizontal,,,0,1,0.8254,YOLO-omega,
cap_000021,2026-09-18T10:38:24.911,horizontal,,,0,0,0.0000,YOLO-omega,
cap_000022,2026-09-18T10:38:25.006,horizontal,,,0,0,0.0000,YOLO-omega,
cap_000023,2026-09-18T10:38:25.134,horizontal,,,0,0,0.0000,YOLO-omega,
cap_000024,2026-09-18T10:38:25.265,horizontal,,,0,0,0.0000,YOLO-omega,
cap_000025,2026-09-18T10:38:25.357,horizontal,,,0,0,0.0000,YOLO-omega,
