frame,timestamp,truth,classical,cnn,cnn_conf_mean,ambient_c,note
483,2026-08-24T15:05:40.082,0,2,2,0.359,24.83,
484,2026-08-24T15:05:40.199,0,2,2,0.394,24.81,
485,2026-08-24T15:05:40.327,0,2,2,0.395,24.81,
486,2026-08-24T15:05:40.422,0,2,2,0.367,24.83,
487,2026-08-24T15:05:40.547,0,2,2,0.429,24.83,
488,2026-08-24T15:05:40.643,0,2,2,0.493,24.83,
489,2026-08-24T15:05:40.769,0,1,2,0.521,24.83,
490,2026-08-24T15:05:40.864,0,2,2,0.541,24.83,
491,2026-08-24T15:05:40.990,0,1,2,0.591,24.83,
492,2026-08-24T15:05:41.089,0,1,2,0.616,24.81,
493,2026-08-24T15:05:41.217,0,2,2,0.620,24.81,
494,2026-08-24T15:05:41.343,0,2,2,0.487,24.81,
495,2026-08-24T15:05:41.439,0,2,2,0.447,24.81,
496,2026-08-24T15:05:41.567,0,1,2,0.436,24.83,
497,2026-08-24T15:05:41.663,0,1,2,0.398,24.81,
498,2026-08-24T15:05:41.792,0,1,2,0.373,24.81,
499,2026-08-24T15:05:41.889,0,1,2,0.375,24.78,
500,2026-08-24T15:05:42.017,0,1,1,0.532,24.76,
501,2026-08-24T15:05:42.144,0,1,1,0.487,24.76,
502,2026-08-24T15:05:42.239,0,1,1,0.380,24.74,
503,2026-08-24T15:05:42.370,0,1,1,0.339,24.74,
504,2026-08-24T15:05:42.465,0,1,1,0.276,24.76,
505,2026-08-24T15:05:42.591,0,1,1,0.326,24.76,
506,2026-08-24T15:05:42.688,0,1,1,0.338,24.74,
507,2026-08-24T15:05:42.816,0,1,1,0.283,24.74,
508,2026-08-24T15:05:42.913,0,1,1,0.270,24.74,
509,2026-08-24T15:05:43.040,0,1,0,0.000,24.74,
510,2026-08-24T15:05:43.170,0,2,0,0.000,24.72,
511,2026-08-24T15:05:43.267,0,2,0,0.000,24.72,
512,2026-08-24T15:05:43.390,0,2,0,0.000,24.76,
513,2026-08-24T15:05:43.489,0,2,0,0.000,24.76,
514,2026-08-24T15:05:43.616,0,2,0,0.000,24.76,
515,2026-08-24T15:05:43.712,0,2,0,0.000,24.74,
516,2026-08-24T15:05:43.839,0,2,0,0.000,24.72,
517,2026-08-24T15:05:43.967,0,2,0,0.000,24.72,
