frame,event,id,x,y,cause,near_track,near_dist,near_misses,ghost_id,ghost_dist,ghost_age,n_within_2gate,n_dets,n_tracks
1,birth,1,116.1,37.9,genuine,,,,,,,0,1,1
106,birth,2,136.4,115.1,gate_miss,1,79.7,0,,,,0,2,2
165,exit,2,149.3,127.4,exit,,,,,,,,1,2
165,death,2,149.3,127.4,age60_hits51,,,,,,,,1,2
217,birth,3,134.2,115.2,gate_miss,1,79.6,0,,,,0,2,2
352,death,3,86.4,87.8,age136_hits126,,,,,,,,1,2
394,birth,3,87.1,68.2,returning_reid,1,42.1,0,3,19.6,42,1,2,2
485,death,3,84.4,54.6,age92_hits82,,,,,,,,1,2
536,recover,3,66.3,42.7,hidden51f,1,,,,,51,,2,1
631,exit,3,164.9,114.1,exit,,,,,,,,1,2
631,death,3,164.9,114.1,age96_hits85,,,,,,,,1,2
672,birth,4,150.6,88.9,returning,1,61.3,0,3,29.0,41,0,2,2
770,exit,4,130.9,40.9,exit,,,,,,,,1,2
770,death,4,130.9,40.9,age99_hits89,,,,,,,,1,2
872,birth,5,110.3,37.3,duplicate_promoted,1,6.1,0,,,,1,2,2
1028,exit,5,139.9,121.5,exit,,,,,,,,1,2
1028,death,5,139.9,121.5,age157_hits144,,,,,,,,1,2
