frame,timestamp,n_tracks,n_confirmed,n_blobs,yolo_ran,trigger,infer_ms,loop_ms,ambient_c,note
63,2026-09-11T15:01:36.672,7,5,0,1,every frame,47.5,48.3,24.25,
64,2026-09-11T15:01:36.798,7,5,0,1,every frame,47.3,45.9,24.25,
65,2026-09-11T15:01:36.892,7,5,0,1,every frame,46.9,43.9,24.28,
66,2026-09-11T15:01:37.016,7,6,0,1,every frame,46.2,40.1,24.25,
67,2026-09-11T15:01:37.111,7,5,0,1,every frame,45.4,38.7,24.28,
68,2026-09-11T15:01:37.239,7,5,0,1,every frame,44.8,39.5,24.28,
69,2026-09-11T15:01:37.367,6,5,0,1,every frame,44.3,39.6,24.28,
70,2026-09-11T15:01:37.463,6,5,0,1,every frame,43.7,39.2,24.28,
71,2026-09-11T15:01:37.592,6,5,0,1,every frame,43.3,39.5,24.28,
72,2026-09-11T15:01:37.687,6,5,0,1,every frame,42.9,39.2,24.28,
73,2026-09-11T15:01:37.816,6,6,0,1,every frame,42.5,39.7,24.30,
74,2026-09-11T15:01:37.910,6,6,0,1,every frame,42.1,38.3,24.30,
75,2026-09-11T15:01:38.039,6,4,0,1,every frame,41.8,39.3,24.30,
76,2026-09-11T15:01:38.167,6,5,0,1,every frame,41.5,39.4,24.30,
77,2026-09-11T15:01:38.262,6,6,0,1,every frame,41.2,38.6,24.30,
78,2026-09-11T15:01:38.393,6,5,0,1,every frame,41.2,41.8,24.30,
79,2026-09-11T15:01:38.496,7,0,0,1,every frame,41.9,48.0,24.30,
80,2026-09-11T15:01:38.635,7,5,0,1,every frame,43.5,57.8,24.32,
81,2026-09-11T15:01:38.722,7,4,0,1,every frame,44.1,50.4,24.35,
82,2026-09-11T15:01:38.854,7,6,0,1,every frame,45.1,54.0,24.37,
83,2026-09-11T15:01:38.951,7,6,0,1,every frame,46.0,55.2,24.37,
84,2026-09-11T15:01:39.092,7,5,0,1,every frame,48.2,67.7,24.39,
85,2026-09-11T15:01:39.196,7,6,0,1,every frame,47.8,44.3,24.39,
86,2026-09-11T15:01:39.293,7,5,0,1,every frame,47.5,45.2,24.37,
87,2026-09-11T15:01:39.420,7,5,0,1,every frame,47.0,43.4,24.37,
88,2026-09-11T15:01:39.516,7,6,0,1,every frame,46.7,44.2,24.37,
89,2026-09-11T15:01:39.641,7,6,0,1,every frame,46.1,40.7,24.35,
90,2026-09-11T15:01:39.735,7,6,0,1,every frame,45.4,39.7,24.35,
91,2026-09-11T15:01:39.864,7,6,0,1,every frame,44.9,40.5,24.32,
92,2026-09-11T15:01:39.992,6,5,0,1,every frame,44.4,40.4,24.35,
93,2026-09-11T15:01:40.089,6,5,0,1,every frame,44.1,41.0,24.35,
94,2026-09-11T15:01:40.215,6,5,0,1,every frame,43.6,39.6,24.35,
95,2026-09-11T15:01:40.311,6,5,0,1,every frame,43.1,39.2,24.35,
96,2026-09-11T15:01:40.439,6,5,0,1,every frame,42.7,39.3,24.37,
97,2026-09-11T15:01:40.535,6,6,0,1,every frame,42.4,39.2,24.35,
98,2026-09-11T15:01:40.663,6,4,0,1,every frame,42.0,39.0,24.35,
99,2026-09-11T15:01:40.759,6,6,0,1,every frame,41.8,39.8,24.35,
100,2026-09-11T15:01:40.887,6,6,0,1,every frame,41.5,39.5,24.35,
101,2026-09-11T15:01:41.015,6,6,0,1,every frame,41.3,39.2,24.37,
102,2026-09-11T15:01:41.111,6,4,0,1,every frame,41.0,39.1,24.41,
103,2026-09-11T15:01:41.244,6,4,0,1,every frame,41.3,44.0,24.41,
104,2026-09-11T15:01:41.342,6,5,0,1,every frame,41.7,45.7,24.41,
105,2026-09-11T15:01:41.474,6,4,0,1,every frame,42.5,49.8,24.41,
106,2026-09-11T15:01:41.570,6,6,0,1,every frame,43.2,49.7,24.41,
107,2026-09-11T15:01:41.698,6,6,0,1,every frame,43.9,50.6,24.41,
108,2026-09-11T15:01:41.835,6,6,0,1,every frame,45.4,59.3,24.41,
109,2026-09-11T15:01:41.919,6,3,0,1,every frame,45.6,47.5,24.44,
110,2026-09-11T15:01:42.041,7,4,0,1,every frame,45.1,41.2,24.44,
111,2026-09-11T15:01:42.135,7,4,0,1,every frame,44.5,39.0,24.44,
112,2026-09-11T15:01:42.263,7,4,0,1,every frame,44.0,39.7,24.41,
113,2026-09-11T15:01:42.359,7,6,0,1,every frame,43.5,39.0,24.41,
114,2026-09-11T15:01:42.487,7,5,0,1,every frame,43.0,39.2,24.41,
115,2026-09-11T15:01:42.582,7,6,0,1,every frame,42.6,38.8,24.41,
116,2026-09-11T15:01:42.712,7,6,0,1,every frame,42.2,39.7,24.44,
117,2026-09-11T15:01:42.840,7,6,0,1,every frame,42.0,39.7,24.44,
118,2026-09-11T15:01:42.936,7,6,0,1,every frame,41.8,40.2,24.44,
119,2026-09-11T15:01:43.065,6,6,0,1,every frame,41.7,41.4,24.44,
120,2026-09-11T15:01:43.164,6,6,0,1,every frame,41.9,44.0,24.41,
121,2026-09-11T15:01:43.292,6,6,0,1,every frame,42.1,44.2,24.46,
122,2026-09-11T15:01:43.389,6,6,0,1,every frame,42.4,45.3,24.46,
123,2026-09-11T15:01:43.522,7,6,0,1,every frame,43.2,50.5,24.44,
124,2026-09-11T15:01:43.615,7,7,0,1,every frame,43.5,46.9,24.44,
125,2026-09-11T15:01:43.740,7,7,0,1,every frame,43.6,44.7,24.44,
126,2026-09-11T15:01:43.864,7,6,0,1,every frame,43.3,40.6,24.44,
127,2026-09-11T15:01:43.960,7,5,0,1,every frame,42.9,40.1,24.44,
128,2026-09-11T15:01:44.088,7,6,0,1,every frame,42.7,40.6,24.44,
129,2026-09-11T15:01:44.187,7,6,0,1,every frame,42.7,43.0,24.46,
130,2026-09-11T15:01:44.315,7,6,0,1,every frame,42.7,43.0,24.46,
131,2026-09-11T15:01:44.411,7,4,0,1,every frame,42.7,43.0,24.48,
132,2026-09-11T15:01:44.545,7,4,0,1,every frame,43.3,49.0,24.48,
133,2026-09-11T15:01:44.670,7,7,0,1,every frame,43.6,46.4,24.51,
134,2026-09-11T15:01:44.769,7,6,0,1,every frame,44.1,49.2,24.48,
135,2026-09-11T15:01:44.898,7,7,0,1,every frame,44.7,50.0,24.48,
136,2026-09-11T15:01:45.003,7,7,0,1,every frame,46.1,59.3,24.48,
137,2026-09-11T15:01:45.114,7,7,0,1,every frame,45.6,41.9,24.48,
138,2026-09-11T15:01:45.211,7,7,0,1,every frame,45.4,43.4,24.48,
139,2026-09-11T15:01:45.337,7,7,0,1,every frame,44.9,41.0,24.48,
140,2026-09-11T15:01:45.431,7,7,0,1,every frame,44.3,39.2,24.46,
141,2026-09-11T15:01:45.559,7,7,0,1,every frame,43.8,39.1,24.46,
142,2026-09-11T15:01:45.689,7,7,0,1,every frame,43.4,40.7,24.44,
143,2026-09-11T15:01:45.783,7,7,0,1,every frame,43.0,39.4,24.44,
144,2026-09-11T15:01:45.911,7,7,0,1,every frame,42.6,38.9,24.46,
145,2026-09-11T15:01:46.008,7,7,0,1,every frame,42.3,39.7,24.51,
146,2026-09-11T15:01:46.137,7,6,0,1,every frame,42.1,40.6,24.55,
147,2026-09-11T15:01:46.234,7,6,0,1,every frame,42.1,42.7,24.53,
