file,capture,orig_file
cap_000000,merged_20260909_142148,cap_000000
cap_000001,merged_20260909_142148,cap_000001
cap_000002,merged_20260909_142148,cap_000002
cap_000003,merged_20260909_142148,cap_000003
cap_000004,merged_20260909_142148,cap_000004
cap_000005,merged_20260909_142148,cap_000005
cap_000006,merged_20260909_142148,cap_000006
cap_000007,merged_20260909_142148,cap_000007
cap_000008,merged_20260909_142148,cap_000008
cap_000009,merged_20260909_142148,cap_000009
cap_000010,merged_20260909_142148,cap_000010
cap_000011,merged_20260909_142148,cap_000011
cap_000012,merged_20260909_142148,cap_000012
cap_000013,merged_20260909_142148,cap_000013
cap_000014,merged_20260909_142148,cap_000014
cap_000015,merged_20260909_142148,cap_000015
cap_000016,merged_20260909_142148,cap_000016
cap_000017,merged_20260909_142148,cap_000017
cap_000018,merged_20260909_142148,cap_000018
cap_000019,merged_20260909_142148,cap_000019
cap_000020,merged_20260909_142148,cap_000020
cap_000021,merged_20260909_142148,cap_000021
cap_000022,merged_20260909_142148,cap_000022
cap_000023,merged_20260909_142148,cap_000023
cap_000024,merged_20260909_142148,cap_000024
cap_000025,merged_20260909_142148,cap_000025
cap_000026,merged_20260909_142148,cap_000026
cap_000027,merged_20260909_142148,cap_000027
cap_000028,merged_20260909_142148,cap_000028
cap_000029,merged_20260909_142148,cap_000029
cap_000030,merged_20260909_142148,cap_000030
cap_000031,merged_20260909_142148,cap_000031
cap_000032,merged_20260909_142148,cap_000032
cap_000033,merged_20260909_142148,cap_000033
cap_000034,merged_20260909_142148,cap_000034
cap_000035,merged_20260909_142148,cap_000035
cap_000036,merged_20260909_142148,cap_000036
cap_000037,merged_20260909_142148,cap_000037
cap_000038,merged_20260909_142148,cap_000038
cap_000039,merged_20260909_142148,cap_000039
cap_000040,merged_20260909_142148,cap_000040
cap_000041,merged_20260909_142148,cap_000041
cap_000042,merged_20260909_142148,cap_000042
cap_000043,merged_20260909_142148,cap_000043
cap_000044,merged_20260909_142148,cap_000044
cap_000045,merged_20260909_142148,cap_000045
cap_000046,merged_20260909_142148,cap_000046
cap_000047,merged_20260909_142148,cap_000047
cap_000048,merged_20260909_142148,cap_000048
cap_000049,merged_20260909_142148,cap_000049
cap_000050,merged_20260909_142148,cap_000050
cap_000051,merged_20260909_142148,cap_000051
cap_000052,merged_20260909_142148,cap_000052
