file,cluster,n_person,n_omega,status
cap_000000,0,0,3,todo
cap_000001,0,0,3,todo
cap_000002,0,0,3,todo
cap_000003,0,0,3,todo
cap_000004,0,0,3,todo
cap_000005,1,0,3,todo
cap_000006,1,0,3,todo
cap_000007,2,0,3,todo
cap_000008,2,0,3,todo
cap_000009,2,0,3,todo
cap_000010,2,0,3,todo
cap_000011,2,0,3,todo
cap_000012,3,0,3,todo
cap_000013,3,0,3,todo
cap_000014,3,0,3,todo
cap_000015,3,0,3,todo
cap_000016,3,0,3,todo
cap_000017,4,0,3,todo
cap_000018,4,0,3,todo
cap_000019,4,0,3,todo
cap_000020,4,0,3,todo
cap_000021,5,0,3,todo
cap_000022,5,0,3,todo
cap_000023,5,0,3,todo
cap_000024,5,0,3,todo
cap_000025,5,0,3,todo
cap_000026,6,0,3,todo
cap_000027,7,0,3,todo
cap_000028,7,0,3,todo
cap_000029,7,0,3,todo
cap_000030,7,0,3,todo
cap_000031,7,0,3,todo
cap_000032,8,0,3,todo
cap_000033,8,0,3,todo
cap_000034,8,0,3,todo
cap_000035,8,0,3,todo
cap_000036,8,0,3,todo
cap_000037,9,0,3,todo
cap_000038,9,0,4,todo
cap_000039,9,0,3,todo
cap_000040,9,0,3,todo
cap_000041,9,0,3,todo
cap_000042,10,0,4,todo
cap_000043,10,0,3,todo
cap_000044,10,0,3,todo
cap_000045,10,0,3,todo
cap_000046,11,0,3,todo
cap_000047,11,0,3,todo
cap_000048,11,0,3,todo
cap_000049,11,0,3,todo
cap_000050,11,0,3,todo
cap_000051,12,0,3,todo
cap_000052,13,0,4,todo
cap_000053,13,0,4,todo
cap_000054,14,0,4,todo
cap_000055,15,0,3,todo
cap_000056,16,0,4,todo
cap_000057,17,0,4,todo
cap_000058,18,0,4,todo
cap_000059,18,0,4,todo
cap_000060,19,0,3,todo
cap_000061,20,0,4,todo
cap_000062,20,0,4,todo
cap_000063,21,0,4,todo
cap_000064,22,0,4,todo
cap_000065,23,0,4,todo
cap_000066,24,0,4,todo
cap_000067,25,0,4,todo
cap_000068,26,0,4,todo
cap_000069,27,0,4,todo
cap_000070,28,0,4,todo
cap_000071,29,0,4,todo
cap_000072,30,0,4,todo
cap_000073,31,0,4,todo
cap_000074,32,0,4,todo
cap_000075,32,0,4,todo
cap_000076,32,0,4,todo
cap_000077,33,0,4,todo
cap_000078,33,0,4,todo
cap_000079,34,0,4,todo
cap_000080,34,0,4,todo
cap_000081,35,0,4,todo
cap_000082,36,0,4,todo
cap_000083,36,0,4,todo
cap_000084,37,0,3,todo
cap_000085,37,0,4,todo
cap_000086,38,0,4,todo
cap_000087,38,0,4,todo
cap_000088,38,0,4,todo
cap_000089,39,0,4,todo
cap_000090,39,0,4,todo
cap_000091,39,0,4,todo
cap_000092,39,0,4,todo
cap_000093,39,0,4,todo
cap_000094,40,0,4,todo
cap_000095,40,0,4,todo
cap_000096,40,0,4,todo
cap_000097,40,0,4,todo
cap_000098,40,0,4,todo
cap_000099,41,0,4,todo
cap_000100,41,0,4,todo
cap_000101,41,0,4,todo
cap_000102,42,0,4,todo
cap_000103,42,0,4,todo
cap_000104,42,0,4,todo
cap_000105,42,0,4,todo
cap_000106,43,0,4,todo
cap_000107,43,0,4,todo
cap_000108,44,0,4,todo
cap_000109,44,0,4,todo
cap_000110,44,0,4,todo
cap_000111,44,0,3,todo
cap_000112,44,0,4,todo
cap_000113,45,0,4,todo
cap_000114,45,0,4,todo
cap_000115,46,0,3,todo
cap_000116,46,0,4,todo
cap_000117,46,0,4,todo
cap_000118,46,0,4,todo
cap_000119,46,0,4,todo
cap_000120,47,0,4,todo
cap_000121,47,0,4,todo
cap_000122,48,0,4,todo
cap_000123,49,0,4,todo
cap_000124,50,0,4,todo
cap_000125,51,0,4,todo
cap_000126,52,0,4,todo
cap_000127,53,0,4,todo
cap_000128,54,0,4,todo
cap_000129,55,0,4,todo
cap_000130,55,0,4,todo
cap_000131,56,0,4,todo
cap_000132,57,0,4,todo
cap_000133,58,0,4,todo
cap_000134,59,0,4,todo
cap_000135,59,0,3,todo
cap_000136,60,0,4,todo
cap_000137,60,0,4,todo
cap_000138,61,0,4,todo
cap_000139,62,0,4,todo
cap_000140,63,0,4,todo
cap_000141,64,0,4,todo
cap_000142,65,0,4,todo
cap_000143,66,0,4,todo
cap_000144,66,0,4,todo
cap_000145,67,0,4,todo
cap_000146,68,0,4,todo
cap_000147,69,0,4,todo
cap_000148,70,0,4,todo
cap_000149,71,0,4,todo
cap_000150,72,0,4,todo
cap_000151,73,0,4,todo
cap_000152,74,0,4,todo
cap_000153,75,0,4,todo
cap_000154,75,0,4,todo
cap_000155,76,0,4,todo
cap_000156,76,0,5,todo
cap_000157,77,0,5,todo
cap_000158,77,0,4,todo
cap_000159,78,0,4,todo
cap_000160,78,0,5,todo
cap_000161,79,0,4,todo
cap_000162,79,0,4,todo
cap_000163,80,0,4,todo
cap_000164,80,0,5,todo
cap_000165,81,0,4,todo
cap_000166,81,0,3,todo
cap_000167,82,0,5,todo
cap_000168,83,0,4,todo
cap_000169,84,0,4,todo
cap_000170,85,0,4,todo
cap_000171,86,0,4,todo
cap_000172,87,0,4,todo
cap_000173,88,0,5,todo
cap_000174,88,0,4,todo
cap_000175,89,0,4,todo
cap_000176,89,0,4,todo
cap_000177,89,0,4,todo
cap_000178,90,0,4,todo
cap_000179,90,0,3,todo
cap_000180,91,0,4,todo
cap_000181,92,0,4,todo
cap_000182,92,0,5,todo
cap_000183,93,0,4,todo
cap_000184,94,0,4,todo
cap_000185,94,0,4,todo
cap_000186,94,0,4,todo
cap_000187,95,0,4,todo
cap_000188,95,0,4,todo
cap_000189,96,0,4,todo
cap_000190,96,0,4,todo
cap_000191,97,0,4,todo
cap_000192,97,0,4,todo
cap_000193,98,0,4,todo
cap_000194,98,0,4,todo
cap_000195,99,0,4,todo
cap_000196,99,0,5,todo
cap_000197,100,0,5,todo
cap_000198,100,0,4,todo
cap_000199,101,0,5,todo
cap_000200,102,0,5,todo
cap_000201,103,0,5,todo
cap_000202,104,0,4,todo
cap_000203,105,0,3,todo
cap_000204,106,0,4,todo
cap_000205,106,0,4,todo
cap_000206,107,0,4,todo
cap_000207,107,0,4,todo
cap_000208,108,0,4,todo
cap_000209,109,0,4,todo
cap_000210,110,0,4,todo
cap_000211,111,0,4,todo
cap_000212,111,0,4,todo
cap_000213,112,0,5,todo
cap_000214,113,0,4,todo
cap_000215,114,0,4,todo
cap_000216,115,0,4,todo
cap_000217,116,0,4,todo
cap_000218,117,0,4,todo
cap_000219,118,0,4,todo
cap_000220,119,0,4,todo
cap_000221,120,0,3,todo
cap_000222,121,0,4,todo
cap_000223,122,0,4,todo
cap_000224,123,0,3,todo
cap_000225,124,0,4,todo
cap_000226,125,0,4,todo
cap_000227,126,0,4,todo
cap_000228,127,0,4,todo
cap_000229,128,0,4,todo
cap_000230,128,0,4,todo
cap_000231,129,0,4,todo
cap_000232,129,0,4,todo
cap_000233,129,0,4,todo
cap_000234,129,0,4,todo
cap_000235,129,0,4,todo
cap_000236,130,0,4,todo
cap_000237,130,0,4,todo
cap_000238,131,0,4,todo
cap_000239,131,0,4,todo
cap_000240,132,0,4,todo
cap_000241,133,0,4,todo
cap_000242,134,0,4,todo
cap_000243,135,0,4,todo
cap_000244,136,0,4,todo
cap_000245,137,0,4,todo
cap_000246,138,0,4,todo
cap_000247,139,0,4,todo
cap_000248,139,0,5,todo
cap_000249,140,0,4,todo
cap_000250,141,0,4,todo
cap_000251,142,0,4,todo
cap_000252,143,0,4,todo
cap_000253,144,0,4,todo
cap_000254,145,0,4,todo
cap_000255,146,0,4,todo
cap_000256,147,0,4,todo
cap_000257,148,0,4,todo
cap_000258,148,0,4,todo
cap_000259,149,0,4,todo
