file,cluster,score,why,decision
cap_000000,0,-1.0000,MISS: 176px blob unboxed,approve
cap_000001,0,-1.0000,MISS: 175px blob unboxed,approve
cap_000002,0,-1.0000,MISS: 175px blob unboxed,approve
cap_000003,0,-1.0000,MISS: 176px blob unboxed,approve
cap_000004,0,-1.0000,MISS: 178px blob unboxed,approve
cap_000005,1,-1.0000,MISS: 177px blob unboxed,approve
cap_000006,1,-1.0000,MISS: 178px blob unboxed,approve
cap_000007,2,-1.0000,MISS: 175px blob unboxed,approve
cap_000008,2,-1.0000,MISS: 175px blob unboxed,approve
cap_000009,2,-1.0000,MISS: 178px blob unboxed,approve
cap_000010,2,-1.0000,MISS: 180px blob unboxed,approve
cap_000011,2,-1.0000,MISS: 180px blob unboxed,approve
cap_000012,3,-1.0000,MISS: 179px blob unboxed,approve
cap_000013,3,-1.0000,MISS: 179px blob unboxed,approve
cap_000014,3,-1.0000,MISS: 178px blob unboxed,approve
cap_000015,3,-1.0000,MISS: 179px blob unboxed,approve
cap_000016,3,-1.0000,MISS: 179px blob unboxed,approve
cap_000017,4,-1.0000,MISS: 179px blob unboxed,approve
cap_000018,4,-1.0000,MISS: 179px blob unboxed,approve
cap_000019,4,-1.0000,MISS: 176px blob unboxed,approve
cap_000020,4,-1.0000,MISS: 177px blob unboxed,approve
cap_000021,5,-1.0000,MISS: 172px blob unboxed,approve
cap_000022,5,-1.0000,MISS: 171px blob unboxed,approve
cap_000023,5,-1.0000,MISS: 171px blob unboxed,approve
cap_000024,5,-1.0000,MISS: 171px blob unboxed,approve
cap_000025,5,-1.0000,MISS: 173px blob unboxed,approve
cap_000026,6,-1.0000,MISS: 173px blob unboxed,approve
cap_000027,7,-1.0000,MISS: 181px blob unboxed,approve
cap_000028,7,-1.0000,MISS: 180px blob unboxed,approve
cap_000029,7,-1.0000,MISS: 180px blob unboxed,approve
cap_000030,7,-1.0000,MISS: 180px blob unboxed,approve
cap_000031,7,-1.0000,MISS: 179px blob unboxed,approve
cap_000032,8,-1.0000,MISS: 178px blob unboxed,approve
cap_000033,8,-1.0000,MISS: 173px blob unboxed,approve
cap_000034,8,-1.0000,MISS: 173px blob unboxed,approve
cap_000035,8,-1.0000,MISS: 173px blob unboxed,approve
cap_000036,8,-1.0000,MISS: 174px blob unboxed,approve
cap_000037,9,-1.0000,MISS: 173px blob unboxed,approve
cap_000038,9,-1.0000,MISS: 175px blob unboxed,delete
cap_000039,9,-1.0000,MISS: 174px blob unboxed,delete
cap_000040,9,-1.0000,MISS: 175px blob unboxed,delete
cap_000041,9,-1.0000,MISS: 174px blob unboxed,delete
cap_000042,10,-1.0000,MISS: 176px blob unboxed,approve
cap_000043,10,-1.0000,MISS: 172px blob unboxed,approve
cap_000044,10,-1.0000,MISS: 173px blob unboxed,delete
cap_000045,10,-1.0000,MISS: 173px blob unboxed,delete
cap_000046,11,-1.0000,MISS: 169px blob unboxed,delete
cap_000047,11,-1.0000,MISS: 170px blob unboxed,delete
cap_000048,11,-1.0000,MISS: 170px blob unboxed,delete
cap_000049,11,-1.0000,MISS: 171px blob unboxed,delete
cap_000050,11,-1.0000,MISS: 172px blob unboxed,delete
cap_000051,12,-1.0000,MISS: 170px blob unboxed,delete
cap_000052,13,-1.0000,MISS: 173px blob unboxed,approve
cap_000053,13,-1.0000,MISS: 174px blob unboxed,approve
cap_000054,14,-1.0000,MISS: 176px blob unboxed,approve
cap_000055,15,-1.0000,MISS: 172px blob unboxed,approve
cap_000056,16,-1.0000,MISS: 170px blob unboxed,approve
cap_000057,17,-1.0000,MISS: 170px blob unboxed,approve
cap_000058,18,-1.0000,MISS: 172px blob unboxed,approve
cap_000059,18,-1.0000,MISS: 170px blob unboxed,approve
cap_000060,19,-1.0000,MISS: 167px blob unboxed,approve
cap_000061,20,-1.0000,MISS: 163px blob unboxed,approve
cap_000062,20,-1.0000,MISS: 168px blob unboxed,approve
cap_000063,21,-1.0000,MISS: 165px blob unboxed,approve
cap_000064,22,-1.0000,MISS: 168px blob unboxed,approve
cap_000065,23,-1.0000,MISS: 167px blob unboxed,approve
cap_000066,24,-1.0000,MISS: 168px blob unboxed,approve
cap_000067,25,-1.0000,MISS: 164px blob unboxed,approve
cap_000068,26,-1.0000,MISS: 162px blob unboxed,approve
cap_000069,27,-1.0000,MISS: 164px blob unboxed,approve
cap_000070,28,-1.0000,MISS: 167px blob unboxed,approve
cap_000071,29,-1.0000,MISS: 164px blob unboxed,approve
cap_000072,30,-1.0000,MISS: 163px blob unboxed,approve
cap_000073,31,-1.0000,MISS: 166px blob unboxed,approve
cap_000074,32,-1.0000,MISS: 166px blob unboxed,approve
cap_000075,32,-1.0000,MISS: 164px blob unboxed,approve
cap_000076,32,-1.0000,MISS: 167px blob unboxed,approve
cap_000077,33,-1.0000,MISS: 167px blob unboxed,approve
cap_000078,33,-1.0000,MISS: 172px blob unboxed,approve
cap_000079,34,-1.0000,MISS: 175px blob unboxed,approve
cap_000080,34,-1.0000,MISS: 170px blob unboxed,approve
cap_000081,35,-1.0000,MISS: 175px blob unboxed,approve
cap_000082,36,-1.0000,MISS: 170px blob unboxed,approve
cap_000083,36,-1.0000,MISS: 169px blob unboxed,approve
cap_000084,37,-1.0000,MISS: 174px blob unboxed,approve
cap_000085,37,-1.0000,MISS: 175px blob unboxed,approve
cap_000086,38,-1.0000,MISS: 158px blob unboxed,approve
cap_000087,38,-1.0000,MISS: 161px blob unboxed,approve
cap_000088,38,-1.0000,MISS: 169px blob unboxed,approve
cap_000089,39,-1.0000,MISS: 174px blob unboxed,approve
cap_000090,39,-1.0000,MISS: 171px blob unboxed,approve
cap_000091,39,-1.0000,MISS: 174px blob unboxed,approve
cap_000092,39,-1.0000,MISS: 177px blob unboxed,approve
cap_000093,39,-1.0000,MISS: 170px blob unboxed,approve
cap_000094,40,-1.0000,MISS: 174px blob unboxed,approve
cap_000095,40,-1.0000,MISS: 174px blob unboxed,approve
cap_000096,40,-1.0000,MISS: 175px blob unboxed,approve
cap_000097,40,-1.0000,MISS: 174px blob unboxed,approve
cap_000098,40,-1.0000,MISS: 171px blob unboxed,approve
cap_000099,41,-1.0000,MISS: 169px blob unboxed,approve
cap_000100,41,-1.0000,MISS: 169px blob unboxed,approve
cap_000101,41,-1.0000,MISS: 168px blob unboxed,approve
cap_000102,42,-1.0000,MISS: 168px blob unboxed,approve
cap_000103,42,-1.0000,MISS: 167px blob unboxed,approve
cap_000104,42,-1.0000,MISS: 169px blob unboxed,approve
cap_000105,42,-1.0000,MISS: 169px blob unboxed,approve
cap_000106,43,-1.0000,MISS: 176px blob unboxed,approve
cap_000107,43,-1.0000,MISS: 176px blob unboxed,approve
cap_000108,44,-1.0000,MISS: 176px blob unboxed,approve
cap_000109,44,-1.0000,MISS: 176px blob unboxed,approve
cap_000110,44,-1.0000,MISS: 176px blob unboxed,approve
cap_000111,44,-1.0000,MISS: 171px blob unboxed,delete
cap_000112,44,-1.0000,MISS: 174px blob unboxed,approve
cap_000113,45,-1.0000,MISS: 174px blob unboxed,approve
cap_000114,45,-1.0000,MISS: 174px blob unboxed,approve
cap_000115,46,-1.0000,MISS: 170px blob unboxed,approve
cap_000116,46,-1.0000,MISS: 168px blob unboxed,approve
cap_000117,46,-1.0000,MISS: 167px blob unboxed,approve
cap_000118,46,-1.0000,MISS: 170px blob unboxed,approve
cap_000119,46,-1.0000,MISS: 169px blob unboxed,approve
cap_000120,47,-1.0000,MISS: 169px blob unboxed,approve
cap_000121,47,-1.0000,MISS: 169px blob unboxed,approve
cap_000122,48,-1.0000,MISS: 169px blob unboxed,approve
cap_000123,49,-1.0000,MISS: 169px blob unboxed,approve
cap_000124,50,-1.0000,MISS: 171px blob unboxed,approve
cap_000125,51,-1.0000,MISS: 171px blob unboxed,approve
cap_000126,52,-1.0000,MISS: 171px blob unboxed,approve
cap_000127,53,-1.0000,MISS: 172px blob unboxed,approve
cap_000128,54,-1.0000,MISS: 172px blob unboxed,approve
cap_000129,55,-1.0000,MISS: 171px blob unboxed,approve
cap_000130,55,-1.0000,MISS: 169px blob unboxed,approve
cap_000131,56,-1.0000,MISS: 171px blob unboxed,approve
cap_000132,57,-1.0000,MISS: 178px blob unboxed,approve
cap_000133,58,-1.0000,MISS: 171px blob unboxed,approve
cap_000134,59,-1.0000,MISS: 180px blob unboxed,approve
cap_000135,59,-1.0000,MISS: 180px blob unboxed,delete
cap_000136,60,-1.0000,MISS: 180px blob unboxed,approve
cap_000137,60,-1.0000,MISS: 176px blob unboxed,approve
cap_000138,61,-1.0000,MISS: 175px blob unboxed,approve
cap_000139,62,-1.0000,MISS: 175px blob unboxed,approve
cap_000140,63,-1.0000,MISS: 170px blob unboxed,approve
cap_000141,64,-1.0000,MISS: 165px blob unboxed,approve
cap_000142,65,-1.0000,MISS: 159px blob unboxed,approve
cap_000143,66,-1.0000,MISS: 163px blob unboxed,approve
cap_000144,66,-1.0000,MISS: 162px blob unboxed,approve
cap_000145,67,-1.0000,MISS: 161px blob unboxed,approve
cap_000146,68,-1.0000,MISS: 160px blob unboxed,approve
cap_000147,69,-1.0000,MISS: 163px blob unboxed,approve
cap_000148,70,-1.0000,MISS: 164px blob unboxed,approve
cap_000149,71,-1.0000,MISS: 163px blob unboxed,approve
cap_000150,72,-1.0000,MISS: 165px blob unboxed,approve
cap_000151,73,-1.0000,MISS: 166px blob unboxed,approve
cap_000152,74,-1.0000,MISS: 164px blob unboxed,approve
cap_000153,75,-1.0000,MISS: 163px blob unboxed,approve
cap_000154,75,-1.0000,MISS: 165px blob unboxed,approve
cap_000155,76,-1.0000,MISS: 162px blob unboxed,approve
cap_000156,76,-1.0000,MISS: 162px blob unboxed,approve
cap_000157,77,-1.0000,MISS: 156px blob unboxed,approve
cap_000158,77,-1.0000,MISS: 163px blob unboxed,approve
cap_000159,78,-1.0000,MISS: 174px blob unboxed,approve
cap_000160,78,-1.0000,MISS: 173px blob unboxed,approve
cap_000161,79,-1.0000,MISS: 171px blob unboxed,approve
cap_000162,79,-1.0000,MISS: 173px blob unboxed,approve
cap_000163,80,-1.0000,MISS: 172px blob unboxed,approve
cap_000164,80,-1.0000,MISS: 169px blob unboxed,approve
cap_000165,81,-1.0000,MISS: 168px blob unboxed,approve
cap_000166,81,-1.0000,MISS: 158px blob unboxed,delete
cap_000167,82,-1.0000,MISS: 161px blob unboxed,approve
cap_000168,83,-1.0000,MISS: 171px blob unboxed,approve
cap_000169,84,-1.0000,MISS: 164px blob unboxed,approve
cap_000170,85,-1.0000,MISS: 175px blob unboxed,approve
cap_000171,86,-1.0000,MISS: 174px blob unboxed,approve
cap_000172,87,-1.0000,MISS: 174px blob unboxed,approve
cap_000173,88,-1.0000,MISS: 171px blob unboxed,approve
cap_000174,88,-1.0000,MISS: 175px blob unboxed,approve
cap_000175,89,-1.0000,MISS: 175px blob unboxed,approve
cap_000176,89,-1.0000,MISS: 174px blob unboxed,approve
cap_000177,89,-1.0000,MISS: 172px blob unboxed,approve
cap_000178,90,-1.0000,MISS: 174px blob unboxed,approve
cap_000179,90,-1.0000,MISS: 174px blob unboxed,approve
cap_000180,91,-1.0000,MISS: 174px blob unboxed,approve
cap_000181,92,-1.0000,MISS: 172px blob unboxed,approve
cap_000182,92,-1.0000,MISS: 175px blob unboxed,approve
cap_000183,93,-1.0000,MISS: 173px blob unboxed,approve
cap_000184,94,-1.0000,MISS: 173px blob unboxed,approve
cap_000185,94,-1.0000,MISS: 167px blob unboxed,approve
cap_000186,94,-1.0000,MISS: 166px blob unboxed,approve
cap_000187,95,-1.0000,MISS: 170px blob unboxed,approve
cap_000188,95,-1.0000,MISS: 166px blob unboxed,approve
cap_000189,96,-1.0000,MISS: 166px blob unboxed,approve
cap_000190,96,-1.0000,MISS: 169px blob unboxed,approve
cap_000191,97,-1.0000,MISS: 164px blob unboxed,approve
cap_000192,97,-1.0000,MISS: 175px blob unboxed,approve
cap_000193,98,-1.0000,MISS: 173px blob unboxed,approve
cap_000194,98,-1.0000,MISS: 174px blob unboxed,approve
cap_000195,99,-1.0000,MISS: 174px blob unboxed,approve
cap_000196,99,-1.0000,MISS: 168px blob unboxed,approve
cap_000197,100,-1.0000,MISS: 176px blob unboxed,approve
cap_000198,100,-1.0000,MISS: 174px blob unboxed,approve
cap_000199,101,-1.0000,MISS: 174px blob unboxed,approve
cap_000200,102,-1.0000,MISS: 174px blob unboxed,approve
cap_000201,103,-1.0000,MISS: 171px blob unboxed,approve
