file,timestamp,view,background,threshold,n_det,omega_count,omega_score,flags,note
cap_000000,2026-09-11T15:04:01.788,horizontal,,,0,9,0.9241,YOLO-omega,
cap_000001,2026-09-11T15:04:01.902,horizontal,,,0,9,0.9294,YOLO-omega,
cap_000002,2026-09-11T15:04:02.003,horizontal,,,0,9,0.9243,YOLO-omega,
cap_000003,2026-09-11T15:04:02.121,horizontal,,,0,9,0.9257,YOLO-omega,
cap_000004,2026-09-11T15:04:02.229,horizontal,,,0,9,0.9290,YOLO-omega,
cap_000005,2026-09-11T15:04:02.354,horizontal,,,0,9,0.9281,YOLO-omega,
cap_000006,2026-09-11T15:04:02.477,horizontal,,,0,9,0.9280,YOLO-omega,
cap_000007,2026-09-11T15:04:02.590,horizontal,,,0,9,0.9313,YOLO-omega,
cap_000008,2026-09-11T15:04:02.700,horizontal,,,0,9,0.9262,YOLO-omega,
cap_000009,2026-09-11T15:04:02.787,horizontal,,,0,9,0.9237,YOLO-omega,
cap_000010,2026-09-11T15:04:02.977,horizontal,,,0,9,0.9253,YOLO-omega,
cap_000011,2026-09-11T15:04:03.085,horizontal,,,0,9,0.9280,YOLO-omega,
cap_000012,2026-09-11T15:04:03.184,horizontal,,,0,9,0.9271,YOLO-omega,
cap_000013,2026-09-11T15:04:03.264,horizontal,,,0,9,0.9277,YOLO-omega,
cap_000014,2026-09-11T15:04:03.367,horizontal,,,0,10,0.9307,YOLO-omega,
cap_000015,2026-09-11T15:04:03.495,horizontal,,,0,10,0.9285,YOLO-omega,
cap_000016,2026-09-11T15:04:03.587,horizontal,,,0,9,0.9306,YOLO-omega,
cap_000017,2026-09-11T15:04:03.802,horizontal,,,0,9,0.9308,YOLO-omega,
cap_000018,2026-09-11T15:04:03.996,horizontal,,,0,9,0.9279,YOLO-omega,
cap_000019,2026-09-11T15:04:04.134,horizontal,,,0,10,0.9252,YOLO-omega,
cap_000020,2026-09-11T15:04:04.225,horizontal,,,0,10,0.9232,YOLO-omega,
cap_000021,2026-09-11T15:04:04.306,horizontal,,,0,10,0.9231,YOLO-omega,
cap_000022,2026-09-11T15:04:04.386,horizontal,,,0,8,0.9277,YOLO-omega,
cap_000023,2026-09-11T15:04:04.469,horizontal,,,0,7,0.9296,YOLO-omega,
cap_000024,2026-09-11T15:04:04.547,horizontal,,,0,9,0.9291,YOLO-omega,
cap_000025,2026-09-11T15:04:04.625,horizontal,,,0,9,0.9301,YOLO-omega,
