frame,timestamp,n_person,n_omega,conf_mean,conf_min,ambient_c,thresh,note
262,2026-08-27T12:48:48.226,0,0,,,24.04,0.374,
263,2026-08-27T12:48:48.371,0,0,,,24.04,0.374,
264,2026-08-27T12:48:48.457,0,0,,,24.04,0.374,
265,2026-08-27T12:48:48.579,0,0,,,24.04,0.374,
266,2026-08-27T12:48:48.673,0,0,,,24.04,0.374,
267,2026-08-27T12:48:48.801,0,0,,,24.07,0.374,
268,2026-08-27T12:48:48.899,0,0,,,24.07,0.374,
269,2026-08-27T12:48:49.025,0,0,,,24.11,0.374,
270,2026-08-27T12:48:49.155,0,0,,,24.11,0.374,
271,2026-08-27T12:48:49.248,0,0,,,24.14,0.374,
272,2026-08-27T12:48:49.375,0,0,,,24.14,0.374,
273,2026-08-27T12:48:49.472,0,0,,,24.14,0.374,
274,2026-08-27T12:48:49.599,0,0,,,24.14,0.374,
275,2026-08-27T12:48:49.695,0,0,,,24.14,0.374,
276,2026-08-27T12:48:49.822,0,0,,,24.16,0.374,
277,2026-08-27T12:48:49.919,0,0,,,24.16,0.374,
278,2026-08-27T12:48:50.050,0,0,,,24.16,0.374,
279,2026-08-27T12:48:50.177,0,0,,,24.16,0.374,
280,2026-08-27T12:48:50.270,0,0,,,24.16,0.374,
281,2026-08-27T12:48:50.400,0,0,,,24.14,0.374,
282,2026-08-27T12:48:50.497,0,0,,,24.14,0.374,
283,2026-08-27T12:48:50.624,0,0,,,24.14,0.374,
284,2026-08-27T12:48:50.720,0,0,,,24.14,0.374,
285,2026-08-27T12:48:50.849,0,0,,,24.14,0.374,
286,2026-08-27T12:48:50.976,0,0,,,24.14,0.374,
287,2026-08-27T12:48:51.073,0,0,,,24.14,0.374,
288,2026-08-27T12:48:51.199,0,0,,,24.16,0.374,
289,2026-08-27T12:48:51.295,0,0,,,24.18,0.374,
290,2026-08-27T12:48:51.424,0,0,,,24.18,0.374,
291,2026-08-27T12:48:51.519,0,0,,,24.16,0.374,
292,2026-08-27T12:48:51.649,0,0,,,24.16,0.374,
293,2026-08-27T12:48:51.744,0,0,,,24.14,0.374,
294,2026-08-27T12:48:51.872,0,0,,,24.14,0.374,
295,2026-08-27T12:48:52.000,0,0,,,24.14,0.374,
296,2026-08-27T12:48:52.096,0,0,,,24.14,0.374,
297,2026-08-27T12:48:52.223,0,0,,,24.14,0.374,
298,2026-08-27T12:48:52.320,0,0,,,24.14,0.374,
299,2026-08-27T12:48:52.450,0,0,,,24.11,0.374,
300,2026-08-27T12:48:52.547,0,0,,,24.11,0.374,
301,2026-08-27T12:48:52.671,0,0,,,24.11,0.374,
302,2026-08-27T12:48:52.767,0,0,,,24.14,0.374,
303,2026-08-27T12:48:52.895,0,0,,,24.18,0.374,
304,2026-08-27T12:48:53.023,0,0,,,24.21,0.374,
305,2026-08-27T12:48:53.120,0,0,,,24.21,0.374,
306,2026-08-27T12:48:53.249,0,0,,,24.21,0.374,
307,2026-08-27T12:48:53.344,0,0,,,24.18,0.374,
308,2026-08-27T12:48:53.471,0,0,,,24.16,0.374,
309,2026-08-27T12:48:53.567,0,0,,,24.16,0.374,
310,2026-08-27T12:48:53.695,0,0,,,24.16,0.374,
311,2026-08-27T12:48:53.822,0,0,,,24.16,0.374,
312,2026-08-27T12:48:53.920,0,0,,,24.16,0.374,
313,2026-08-27T12:48:54.049,0,0,,,24.14,0.374,
314,2026-08-27T12:48:54.142,0,0,,,24.14,0.374,
315,2026-08-27T12:48:54.277,0,0,,,24.14,0.374,
316,2026-08-27T12:48:54.371,0,0,,,24.14,0.374,
317,2026-08-27T12:48:54.498,0,0,,,24.14,0.374,
318,2026-08-27T12:48:54.591,0,0,,,24.14,0.374,
319,2026-08-27T12:48:54.719,0,0,,,24.14,0.374,
320,2026-08-27T12:48:54.846,0,0,,,24.14,0.374,
321,2026-08-27T12:48:54.943,0,0,,,24.14,0.374,
322,2026-08-27T12:48:55.071,0,0,,,24.11,0.374,
323,2026-08-27T12:48:55.167,0,0,,,24.11,0.374,
324,2026-08-27T12:48:55.296,0,0,,,24.07,0.374,
325,2026-08-27T12:48:55.394,0,0,,,24.07,0.374,
326,2026-08-27T12:48:55.520,0,0,,,24.07,0.374,
327,2026-08-27T12:48:55.648,0,0,,,24.07,0.374,
328,2026-08-27T12:48:55.745,0,0,,,24.09,0.374,
329,2026-08-27T12:48:55.873,0,0,,,24.09,0.374,
330,2026-08-27T12:48:55.970,0,0,,,24.09,0.374,
331,2026-08-27T12:48:56.097,0,0,,,24.09,0.374,
332,2026-08-27T12:48:56.192,0,0,,,24.07,0.374,
333,2026-08-27T12:48:56.321,0,0,,,24.04,0.374,
334,2026-08-27T12:48:56.414,0,0,,,24.04,0.374,
335,2026-08-27T12:48:56.544,0,0,,,24.04,0.374,
336,2026-08-27T12:48:56.670,0,0,,,24.04,0.374,
337,2026-08-27T12:48:56.766,0,1,0.710,0.710,24.07,0.374,
338,2026-08-27T12:48:56.896,0,1,0.433,0.433,24.04,0.374,
339,2026-08-27T12:48:56.990,1,1,0.692,0.479,24.04,0.374,
340,2026-08-27T12:48:57.119,1,1,0.667,0.468,24.04,0.374,
341,2026-08-27T12:48:57.215,2,1,0.669,0.430,24.04,0.374,
342,2026-08-27T12:48:57.349,1,1,0.758,0.588,24.07,0.374,
343,2026-08-27T12:48:57.476,0,1,0.574,0.574,24.09,0.374,
344,2026-08-27T12:48:57.569,1,1,0.802,0.640,24.14,0.374,
345,2026-08-27T12:48:57.698,1,1,0.862,0.775,24.11,0.374,
346,2026-08-27T12:48:57.791,1,1,0.857,0.761,24.11,0.374,
347,2026-08-27T12:48:57.920,1,1,0.836,0.718,24.11,0.374,
348,2026-08-27T12:48:58.015,1,1,0.762,0.592,24.14,0.374,
349,2026-08-27T12:48:58.145,0,1,0.942,0.942,24.11,0.374,
350,2026-08-27T12:48:58.239,1,1,0.753,0.543,24.14,0.374,
351,2026-08-27T12:48:58.368,1,1,0.898,0.849,24.11,0.374,
352,2026-08-27T12:48:58.498,0,1,0.944,0.944,24.11,0.374,
353,2026-08-27T12:48:58.593,1,1,0.873,0.804,24.11,0.374,
354,2026-08-27T12:48:58.720,1,1,0.602,0.524,24.11,0.374,
355,2026-08-27T12:48:58.815,1,1,0.864,0.781,24.10,0.374,
356,2026-08-27T12:48:58.942,1,1,0.861,0.851,24.11,0.374,
357,2026-08-27T12:48:59.039,1,1,0.870,0.865,24.09,0.374,
358,2026-08-27T12:48:59.167,1,1,0.737,0.586,24.09,0.374,
359,2026-08-27T12:48:59.262,2,1,0.666,0.453,24.09,0.374,
360,2026-08-27T12:48:59.392,1,1,0.808,0.694,24.09,0.374,
361,2026-08-27T12:48:59.519,1,1,0.764,0.729,24.09,0.374,
362,2026-08-27T12:48:59.615,1,1,0.716,0.654,24.09,0.374,
363,2026-08-27T12:48:59.745,1,1,0.837,0.834,24.09,0.374,
364,2026-08-27T12:48:59.842,1,1,0.844,0.815,24.11,0.374,
365,2026-08-27T12:48:59.967,1,1,0.908,0.907,24.11,0.374,
366,2026-08-27T12:49:00.062,1,1,0.932,0.921,24.11,0.374,
367,2026-08-27T12:49:00.192,1,1,0.936,0.928,24.14,0.374,
368,2026-08-27T12:49:00.320,1,1,0.872,0.846,24.11,0.374,
369,2026-08-27T12:49:00.415,2,1,0.580,0.491,24.11,0.374,
370,2026-08-27T12:49:00.543,1,1,0.927,0.923,24.11,0.374,
371,2026-08-27T12:49:00.640,1,1,0.838,0.744,24.16,0.374,
372,2026-08-27T12:49:00.768,1,1,0.867,0.807,24.14,0.374,
373,2026-08-27T12:49:00.863,1,1,0.801,0.729,24.16,0.374,
374,2026-08-27T12:49:00.991,1,1,0.812,0.796,24.16,0.374,
375,2026-08-27T12:49:01.086,1,1,0.717,0.631,24.18,0.374,
376,2026-08-27T12:49:01.215,1,1,0.868,0.830,24.18,0.374,
377,2026-08-27T12:49:01.342,1,1,0.868,0.845,24.18,0.374,
378,2026-08-27T12:49:01.439,1,1,0.727,0.650,24.21,0.374,
379,2026-08-27T12:49:01.567,0,1,0.870,0.870,24.18,0.374,
380,2026-08-27T12:49:01.662,1,0,0.709,0.709,24.18,0.374,
381,2026-08-27T12:49:01.792,1,1,0.890,0.884,24.18,0.374,
382,2026-08-27T12:49:01.888,1,1,0.812,0.692,24.21,0.374,
383,2026-08-27T12:49:02.014,1,1,0.838,0.794,24.23,0.374,
384,2026-08-27T12:49:02.146,1,1,0.908,0.901,24.23,0.374,
385,2026-08-27T12:49:02.241,1,0,0.902,0.902,24.23,0.374,
386,2026-08-27T12:49:02.373,1,1,0.838,0.763,24.21,0.374,
387,2026-08-27T12:49:02.468,1,1,0.872,0.859,24.18,0.374,
388,2026-08-27T12:49:02.597,2,1,0.677,0.513,24.14,0.374,
389,2026-08-27T12:49:02.694,1,1,0.781,0.721,24.14,0.374,
390,2026-08-27T12:49:02.821,1,1,0.798,0.736,24.14,0.374,
391,2026-08-27T12:49:02.919,1,1,0.723,0.656,24.11,0.374,
392,2026-08-27T12:49:03.049,1,1,0.833,0.765,24.11,0.374,
393,2026-08-27T12:49:03.171,1,1,0.898,0.884,24.11,0.374,
394,2026-08-27T12:49:03.267,1,1,0.896,0.895,24.11,0.374,
395,2026-08-27T12:49:03.395,1,1,0.916,0.915,24.11,0.374,
396,2026-08-27T12:49:03.491,1,1,0.911,0.893,24.09,0.374,
397,2026-08-27T12:49:03.618,1,1,0.912,0.894,24.09,0.374,
398,2026-08-27T12:49:03.712,1,1,0.883,0.824,24.07,0.374,
